station_id,station_name,address,original_database_state,original_state_source,latitude,longitude,nearest_geographic_state,distance_to_nearest_state_boundary_km,distance_to_original_state_boundary_km,inside_another_malaysian_state,outside_malaysia_land_polygons,inside_full_resolution_geoboundaries_reference,inside_independent_arcgis_reference,inside_independent_gadm_reference,exact_coordinate_match_count,nearby_record_count_within_75m,nearby_record_count_within_250m,nearby_station_ids_within_75m,nearest_nearby_distance_metres,synthetic_demo_suspected,recommended_review_category,diagnostic
01cb317d-a241-46df-9d0b-03bb8a15f18e,Petronas Pengkalan Hulu,"Jalan Suria 13, 38350 Pengkalan Hulu, Perak",Perak,parsedFromAddress,5.656985,101.15732,Perak,1.941804,1.941804,false,true,false,false,false,0,0,0,,,false,boundaryAdjacent,Outside all deployed and full-resolution geoBoundaries ADM1 land polygons; nearest boundary is Perak at 1.942 km. Address state agrees; review coastal coordinate precision/source geocoding.
0278b66c-e1ad-4232-b020-1ecc4a0d78c6,Penang Sentral,"Jalan Damai 37, 15080 Butterworth, Penang",Penang,parsedFromAddress,5.41002,100.363127,Penang,0.214218,0.214218,false,true,false,false,false,0,0,0,,,false,boundaryAdjacent,Outside all deployed and full-resolution geoBoundaries ADM1 land polygons; nearest boundary is Penang at 0.214 km. Address state agrees; review coastal coordinate precision/source geocoding.
037527b8-abaa-4376-999d-f8b6a699da98,CHIAP HONG ENT PASAR SEGAR,"Jalan Mahkota 33, 54660 George Town, Penang",Penang,parsedFromAddress,5.432047,100.324719,Penang,0.351887,0.351887,false,true,false,false,false,0,0,1,,127.58,false,boundaryAdjacent,Outside all deployed and full-resolution geoBoundaries ADM1 land polygons; nearest boundary is Penang at 0.352 km. Address state agrees; review coastal coordinate precision/source geocoding.
03eac047-610f-4a79-8f0a-7f8723b9e3b9,BMW TIAN SIANG PREMIUM AUTO PENANG,"Lebuh Permai 32, 19940 George Town, Penang",Penang,parsedFromAddress,5.427239,100.339259,Penang,0.409697,0.409697,false,true,false,false,false,0,0,2,,103.62,false,boundaryAdjacent,Outside all deployed and full-resolution geoBoundaries ADM1 land polygons; nearest boundary is Penang at 0.410 km. Address state agrees; review coastal coordinate precision/source geocoding.
05328de4-f602-4986-b6c1-192db05df633,AMES HOTEL,"Lebuh Angsana 27, 19310 Melaka City, Melaka",Melaka,parsedFromAddress,2.174547,102.232818,Melaka,1.675436,1.675436,false,true,false,false,false,0,0,0,,,false,boundaryAdjacent,Outside all deployed and full-resolution geoBoundaries ADM1 land polygons; nearest boundary is Melaka at 1.675 km. Address state agrees; review coastal coordinate precision/source geocoding.
05923ecf-734a-42bc-b96c-b2597609d7c5,Forest City Golf Hotel,"Jalan Perdana 14, 88980 Forest City, Gelang Patah, Johor",Johor,parsedFromAddress,1.369038,103.64027,Johor,0.528948,0.528948,false,true,false,false,false,0,0,0,,,false,boundaryAdjacent,Outside all deployed and full-resolution geoBoundaries ADM1 land polygons; nearest boundary is Johor at 0.529 km. Address state agrees; review coastal coordinate precision/source geocoding.
068b6457-5bc5-45af-9aa0-7a94593c3f99,G-Mart Supermarket,"Lebuh Suria 9, 62710 Kota Kinabalu, Sabah",Sabah,parsedFromAddress,5.974744,116.054653,Sabah,0.340787,0.340787,false,true,false,false,false,0,0,0,,,false,boundaryAdjacent,Outside all deployed and full-resolution geoBoundaries ADM1 land polygons; nearest boundary is Sabah at 0.341 km. Address state agrees; review coastal coordinate precision/source geocoding.
06fa89fd-1e8c-4cce-869b-31e03c2aa42a,Petron Sg. Dua,"Jalan Harmoni 3, 98780 George Town, Penang",Penang,parsedFromAddress,5.425105,100.341731,Penang,0.230084,0.230084,false,true,false,false,false,0,0,1,,113.84,false,boundaryAdjacent,Outside all deployed and full-resolution geoBoundaries ADM1 land polygons; nearest boundary is Penang at 0.230 km. Address state agrees; review coastal coordinate precision/source geocoding.
086f9ac1-a45a-45c8-9569-c958054ef6ff,Caltex Bagan Nakhoda Omar,"Persiaran Wawasan 36, 45480 Sabak Bernam, Selangor",Selangor,parsedFromAddress,3.711319,100.925113,Selangor,0.060463,0.060463,false,true,false,true,true,0,0,0,,,false,missingGeometrySuspected,Outside all deployed and full-resolution geoBoundaries ADM1 land polygons; nearest boundary is Selangor at 0.060 km. At least one independent ADM1 reference contains the coordinate; compare source geometries manually without automatic reassignment.
0915a845-25be-46b5-ac53-0773b9b4289f,"PUTRA MARINE, PENANG","Jalan Bahagia 19, 48520 George Town, Penang",Penang,parsedFromAddress,5.426981,100.34624,Penang,0.62235,0.62235,false,true,false,false,false,0,0,3,,83.94,true,boundaryAdjacent,Outside all deployed and full-resolution geoBoundaries ADM1 land polygons; nearest boundary is Penang at 0.622 km. Address state agrees; review coastal coordinate precision/source geocoding.
