"station_id","station_name","address","latitude","longitude","charger_type","charger_count","ac_charger_count","dc_charger_count","status","indoor_outdoor","source","mevnet_object_id","source_url","data_date","source_data_date_original","state","state_original","pbt","pbt_code","location","proposed_charger_count","category","indoor_count","outdoor_count","network_counts","coordinate_valid","include_for_existing_coverage"
"6d65766e-6574-5000-8000-000000000001","AEON MALL TAIPING","","4.8731511","100.7308056","DC Fast Charger","2","0","2","Existing","Outdoor","MEVnet / PLANMalaysia","1","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2024-08-31","31-Aug-24","Perak","PERAK","Majlis Perbandaran Taiping","208302","AEON MALL TAIPING","8","Shopping Mall","0","2","{""TNBX (GoToU)"":2}","TRUE","TRUE"
"6d65766e-6574-5000-8000-000000000002","Lotus's Taiping","","4.865945","100.7301758","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","2","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Taiping","208302","Lotus's Taiping","8","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000003","Taiping Municipal Council","","4.8546404","100.7437868","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","3","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Taiping","208302","Taiping Municipal Council","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000004","KFC Taiping Lake Garden DT","","4.8526337","100.7460001","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","4","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Taiping","208302","KFC Taiping Lake Garden DT","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000005","Perak Museum","","4.860418","100.7453769","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","5","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Taiping","208302","Perak Museum","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000006","Taiping Zoo","","4.8549951","100.751032","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","6","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-02-06","6-Feb-23","Perak","PERAK","Majlis Perbandaran Taiping","208302","Taiping Zoo","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000007","Hotel Grand Baron","","4.8573431","100.7560013","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","7","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Taiping","208302","Hotel Grand Baron","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000008","Hotel Taiping Perdana","","4.8432382","100.7401131","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","8","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-02","2-Mar-23","Perak","PERAK","Majlis Perbandaran Taiping","208302","Hotel Taiping Perdana","1","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-000000000009","KPJ Taiping Medical Centre","","4.8472381","100.7324681","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","9","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Taiping","208302","KPJ Taiping Medical Centre","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-00000000000a","FLEMINGTON HOTEL","","4.8476573","100.7502848","AC Charger","2","2","0","Existing","Indoor","MEVnet / PLANMalaysia","10","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2024-10-01","1-Oct-24","Perak","PERAK","Majlis Perbandaran Taiping","208302","FLEMINGTON HOTEL","2","Hotel & Resort","2","0","{""ChargeSini"":2}","TRUE","TRUE"
"6d65766e-6574-5000-8000-00000000000b","Taiping Mall","","4.8497629","100.7425103","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","11","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Taiping","208302","Taiping Mall","5","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-00000000000c","Spritzer EcoPark","","4.8207441","100.7520321","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","12","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Taiping","208302","Spritzer EcoPark","3","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-00000000000d","McDonald's Simpang DT","","4.8223702","100.7078993","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","13","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Taiping","208302","McDonald's Simpang DT","2","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-00000000000e","Econsave Kamunting (Hypermarket | Wholesale)","","4.897515","100.7157028","Charger type not specified","0","0","0","Newly Proposed","TM","MEVnet / PLANMalaysia","14","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2023-03-06","6-Mar-23","Perak","PERAK","Majlis Perbandaran Taiping","208302","Econsave Kamunting (Hypermarket | Wholesale)","3","","0","0","{}","TRUE","FALSE"
"6d65766e-6574-5000-8000-00000000000f","AEON KINTA CITY","","4.6142838","101.1175449","DC Fast Charger","2","0","2","Existing","Outdoor","MEVnet / PLANMalaysia","15","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2024-08-31","31-Aug-24","Perak","PERAK","Majlis Bandaraya Ipoh","208301","AEON KINTA CITY","8","Shopping Mall","0","2","{""TNBX (GoToU)"":2}","TRUE","TRUE"
"6d65766e-6574-5000-8000-000000000010","MYDIN MALL MERU RAYA","","4.6709985","101.0745249","DC Fast Charger","2","0","2","Existing","Indoor","MEVnet / PLANMalaysia","16","https://gisdev.planmalaysia.gov.my/server/rest/services/Hosted/MEVnet_EVCB/FeatureServer/0","2024-10-01","1-Oct-24","Perak","PERAK","Majlis Bandaraya Ipoh","208301","MYDIN MALL MERU RAYA","8","Shopping Mall","2","0","{""ChargeSini"":2}","TRUE","TRUE"
